127.0.0.1 - - [15/Oct/2018:11:07:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:10 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:10 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:11 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:11 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:12 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:12 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:13 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:13 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=34b087f0722a48b0aac3f4f49943d796.xls HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:41 +0800] "POST /WebSample/sample/html5ajax/RecieveExcel HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:41 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:42 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:42 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:43 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 163
